R_ID,MRL_QS,MRL_FN,ASTRAL_QS,ASTRAL_FN,QFM_QS,QFM_FN
1,7816086,0.14705882352941177,7819060,0.08823529411764706,7817019,0.08823529411764706
2,7833493,0.14705882352941177,7839544,0.11764705882352941,7839491,0.08823529411764706
3,7950956,0.23529411764705882,7959588,0.11764705882352941,7957218,0.11764705882352941
4,7777436,0.11764705882352941,7782647,0.11764705882352941,7731968,0.058823529411764705
5,7800595,0.17647058823529413,7802953,0.17647058823529413,7789488,0.17647058823529413
6,7791368,0.20588235294117646,7819047,0.058823529411764705,7681833,0.08823529411764706
7,7656444,0.08823529411764706,7666098,0.029411764705882353,7619941,0.08823529411764706
8,7805929,0.17647058823529413,7815108,0.08823529411764706,7728254,0.11764705882352941
9,7794810,0.029411764705882353,7798512,0.058823529411764705,7790734,0.08823529411764706
10,7879205,0.17647058823529413,7883166,0.08823529411764706,7828799,0.11764705882352941
11,7713894,0.11764705882352941,7716748,0.029411764705882353,7714294,0.058823529411764705
12,7776574,0.058823529411764705,7778901,0.058823529411764705,7688808,0.058823529411764705
13,7861710,0.17647058823529413,7866219,0.029411764705882353,7866195,0.058823529411764705
14,7857478,0.20588235294117646,7860064,0.14705882352941177,7853842,0.11764705882352941
